Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,6.520398177089499,6.600252756969662,6.3504234394667,6.53165293924787,495315270.4037689,6413739120.043711
2024-02-12,2024-02-13,6.289273511013957,6.530413176357791,6.202869230757248,6.50438478822469,362650926.19116664,6263013365.391023
2024-02-11,2024-02-12,6.382943064042462,6.496976137150602,6.284265246137112,6.296866410885985,317916091.90406346,6320447482.620024
2024-02-10,2024-02-11,6.405728517662064,6.460210220273646,6.274407984322535,6.395232031040472,398706780.3862943,6291995557.217124
2024-02-09,2024-02-10,6.221164848595644,6.481904885841505,6.171982517273226,6.377375134797393,447268568.9609319,6237791948.204778
2024-02-08,2024-02-09,6.1640509836667015,6.291741870400217,6.093423131034488,6.22068964419803,357234621.4609198,6108283886.996816
2024-02-07,2024-02-08,6.030531640870219,6.166703508329015,5.919478632665461,6.156784912095655,274153065.7872133,5952677553.899527
2024-02-06,2024-02-07,5.948377941442536,6.049699159430826,5.905740554807557,6.035667625379917,292424874.7822782,5901791992.670481
2024-02-05,2024-02-06,5.911997973714572,6.166317623108827,5.851193941862393,5.965079327466939,285182849.958035,5961227137.442114
2024-02-04,2024-02-05,6.042048036635393,6.048636049613483,5.9056419493922245,5.913259884179101,209343077.4695772,5925389414.642116
2024-02-03,2024-02-04,6.1518863987876955,6.203427367856277,6.04857947253257,6.055662620974916,267193953.11552927,6041541881.269902
2024-02-02,2024-02-03,6.006618515737959,6.218849302452996,6.002908966570168,6.14493384489351,294473480.91040826,6021672175.121962
2024-02-01,2024-02-02,5.9076105112151405,6.034994208728032,5.821177104616594,6.0201998212269645,371551341.4700564,5862819969.335532
2024-01-31,2024-02-01,6.063328660774634,6.096503727293058,5.840447285738834,5.897315245660795,395963238.64029354,5926580901.931502
2024-01-30,2024-01-31,6.216852682457088,6.265211706662774,6.054719924727599,6.061547540469108,576298038.2945645,6123176511.226076
2024-01-29,2024-01-30,6.058286102880627,6.457747186071416,5.955412955970528,6.2367186889313695,468261883.4218276,6056264582.845821
2024-01-28,2024-01-29,5.905382012664613,6.05391592154447,5.829956669084077,6.05391592154447,293572662.2212703,5862548193.892086
2024-01-27,2024-01-28,5.911055925844366,5.966787747630012,5.796539052511429,5.911621009047671,334008107.7804877,5822287955.868053
2024-01-26,2024-01-27,5.689658334079337,5.956592170667874,5.642199001742412,5.906326732456643,323813546.40479785,5721087936.106548
2024-01-25,2024-01-26,5.722133381123109,5.813029697489816,5.629237252875263,5.706510483364688,348190093.2028178,5648158659.633709
2024-01-24,2024-01-25,5.639176952929941,5.792463342941247,5.553627144223945,5.730462793133457,464196316.03789276,5588225234.119151
2024-01-23,2024-01-24,5.628741878648191,5.716130378301181,5.316787851597348,5.6315568689799145,573255143.9548532,5476436118.942448
2024-01-22,2024-01-23,6.054620456405703,6.06046221491181,5.609039180811894,5.611349801867089,355613031.2217253,5776697568.80051
2024-01-21,2024-01-22,6.116473002349984,6.17726314267868,6.040718653024485,6.040718653024485,251129822.4736035,6039313216.615962
2024-01-20,2024-01-21,6.080038866695412,6.158737207460345,6.013710372564822,6.11402669069222,404882395.6442271,6003898377.715472
2024-01-19,2024-01-20,6.237403694555414,6.27918529620752,5.834973792819018,6.091229384760681,493144807.6314686,6045099828.324825
2024-01-18,2024-01-19,6.528014058031391,6.541168447812019,6.086973544297124,6.2132363904177215,402010162.0841878,6289819091.361881
2024-01-17,2024-01-18,6.646095019524783,6.726421470834548,6.442056199303113,6.500691079174011,386452708.1988187,6482174674.817908
2024-01-16,2024-01-17,6.662964814668773,6.793421114345891,6.516133945655765,6.637767946011344,379755975.95528126,6589579515.34547
2024-01-15,2024-01-16,6.525683595486617,6.806061949927183,6.516359589865528,6.6658137658112055,398617766.15173995,6617807550.179841
2024-01-14,2024-01-15,6.749401388191282,6.811322681896007,6.490524427782255,6.490524427782255,338863800.67391765,6630796219.794392
2024-01-13,2024-01-14,6.715661293541806,6.8595955034175295,6.573706571469517,6.7530216417630395,613107948.9779391,6687436050.989686
2024-01-12,2024-01-13,7.222534828901539,7.274736352067993,6.565700281291771,6.706738924062293,731259138.3644202,6973184879.711997
2024-01-11,2024-01-12,7.079541595173148,7.591262416701147,6.978995769918998,7.235472189135507,1072316209.3764309,7200140767.43094
