Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,2367.2024515969038,2384.4529962978054,2310.9057091740033,2348.5791720546295,18256686995.642086,282664409225.2838
2024-02-12,2024-02-13,2226.6907870263763,2364.9624466370256,2197.966627105734,2361.142277646892,10234147013.599113,270959272962.594
2024-02-11,2024-02-12,2219.9041680690134,2259.1418525144813,2217.9212796485576,2226.362637946611,8969681400.23791,268617249181.87625
2024-02-10,2024-02-11,2214.3628327989654,2236.0722193683246,2202.044621189308,2221.4568756310564,12525941299.24057,266991663198.17953
2024-02-09,2024-02-10,2155.040918994562,2239.927284643863,2152.932616512852,2210.980550192195,13399846975.748875,264402316447.05713
2024-02-08,2024-02-09,2155.7254707455763,2184.1734717375516,2148.07282163924,2152.937310683223,12365439447.001364,259424029713.12018
2024-02-07,2024-02-08,2110.9768302835987,2170.071386817353,2093.550741324642,2155.3084867057555,11441296587.750744,254640529310.8862
2024-02-06,2024-02-07,2042.4021752608367,2121.5123199829945,2042.25470745576,2107.0502010522027,10317859379.891176,249618583691.5492
2024-02-05,2024-02-06,2036.1321807521301,2077.555400067313,2025.2342656723292,2044.0783483605833,8539980832.314581,246130756340.5339
2024-02-04,2024-02-05,2045.6515154199071,2063.4036277965743,2026.5641329955895,2037.7897543088943,5780811961.234319,246237511323.31042
2024-02-03,2024-02-04,2054.834995482968,2071.9192071280536,2043.6805838485113,2044.5341257329105,7698003417.711542,247156894871.5533
2024-02-02,2024-02-03,2047.9694613218078,2064.2652294829327,2030.8925123554106,2051.153880218943,9979615269.206398,246284969539.39856
2024-02-01,2024-02-02,2029.8778630010806,2050.236922749898,1992.9375763909802,2045.7605441694861,13031683426.569702,243335722018.95187
2024-01-31,2024-02-01,2083.23738331001,2084.7769826227127,2016.555896055126,2028.29132198466,13199307284.888895,247674831794.68588
2024-01-30,2024-01-31,2054.4361681398686,2119.112713230475,2044.1789630311944,2083.989867677537,11650067783.116552,248900632285.6928
2024-01-29,2024-01-30,2002.145235859919,2062.48861885108,1992.3461109241318,2056.7337431137407,8955669749.921785,243354946352.69968
2024-01-28,2024-01-29,2018.2905248613893,2055.7933147928366,1996.2107416789188,2006.7844932953076,7344886066.609262,243512918453.60126
2024-01-27,2024-01-28,2012.009016349884,2030.950436646414,2001.6899899031055,2019.2849804261955,9768642979.51347,242383231475.92917
2024-01-26,2024-01-27,1968.6576444121658,2026.0362602518912,1952.1673781729935,2013.932474802048,11476360651.415434,239204514717.52798
2024-01-25,2024-01-26,1982.8836377163307,1989.3258994207572,1934.9356987228316,1970.7249393300622,10631483359.08734,236553687681.11566
2024-01-24,2024-01-25,1990.4317751049546,2007.4576196127755,1952.494287283227,1986.2302269144245,16476843824.331438,237746276040.7489
2024-01-23,2024-01-24,2053.718934334757,2083.2427860344005,1926.7379058685988,1989.2374187377113,18109654663.825375,240741164269.21326
2024-01-22,2024-01-23,2186.0903760650453,2190.4928878890405,2048.8768533116045,2049.558836554302,10420111608.142347,254797140664.98596
