Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,44238.833334809526,44467.32150607159,42912.907540100794,44057.27040025509,47073645429.32401,862527365708.901
2024-02-12,2024-02-13,42757.030371203604,44512.528453628336,42288.53971993658,44301.17888807206,34382862772.47149,847758113654.137
2024-02-11,2024-02-12,42252.172218630156,42987.88340433824,42167.6394781361,42753.230649318444,27375253466.191154,836729011244.5728
2024-02-10,2024-02-11,41801.49331727235,42585.369742168055,41521.98790111866,42302.00260400521,40098076377.90646,822940751383.5055
2024-02-09,2024-02-10,40184.88436976874,42581.76487781547,40080.821590214604,41711.84999512856,42025361387.19306,812844963220.795
2024-02-08,2024-02-09,39343.108686217376,40344.401831660805,39285.01457002914,40137.09998848569,34415462864.913086,780262232350.4487
2024-02-07,2024-02-08,38183.26350938417,39267.40653481307,37904.404665952185,39262.0568098279,24772904042.670403,751993982352.0704
2024-02-06,2024-02-07,37820.05792583014,38405.15309602048,37712.60285377714,38178.92350070414,26457827127.850273,746517331750.785
2024-02-05,2024-02-06,37721.06144212288,38523.53790421867,37453.42462113496,37832.17452149191,24339493964.579567,743610056238.9453
2024-02-04,2024-02-05,38085.80817161634,38181.43007714587,37402.05308982047,37740.34348068696,19060482639.56717,745164922905.7437
2024-02-03,2024-02-04,38236.36218701009,38401.069944997034,38020.14118313951,38059.81240533909,23220114153.464844,748963834344.9795
2024-02-02,2024-02-03,38145.11571880287,38461.706066269275,37757.854087136744,38253.32364950444,29254449436.1152,748271658833.0132
2024-02-01,2024-02-02,37735.14432743151,38298.043453229766,37139.863422583985,38147.30343746401,34695804620.18505,737646374270.1028
2024-01-31,2024-02-01,38091.6893262358,38742.82348564697,37455.142910285824,37741.45948291897,32213956927.8164,745634700680.1991
2024-01-30,2024-01-31,38252.50879073187,38786.50700158543,37919.25812423054,38011.00059342976,31655667759.694805,754175575661.1584
2024-01-29,2024-01-30,37153.990593695475,38336.96181678078,37064.86098686483,38324.411220251015,24427280680.696552,737754895526.6987
2024-01-28,2024-01-29,37307.89261578523,37938.921020699185,36931.19757668087,37216.637290417435,21258021203.286312,733797504533.0547
2024-01-27,2024-01-28,37042.948371611026,37368.36930816719,36734.125753965796,37299.89459978919,29589641095.790005,726503023138.7333
2024-01-26,2024-01-27,35382.07133557124,37381.814477914675,35277.50369786454,37081.47702009689,28990123209.42392,711052877191.3456
2024-01-25,2024-01-26,35490.2526947911,35674.9333498667,35056.13668370194,35365.89816036775,27121882528.62429,693977523713.8346
2024-01-24,2024-01-25,35358.45814548772,35905.16638176134,35049.23695561677,35557.80625846966,36846093869.98694,693356725561.3857
2024-01-23,2024-01-24,35063.79812759626,35576.27343826116,34192.91781440706,35316.83834796241,41871980953.17614,684851864946.5741
2024-01-22,2024-01-23,36844.12283110281,36921.72041486941,35000.82371593315,35000.82371593315,25680859148.908344,707453900939.6953
2024-01-21,2024-01-22,36932.46415064259,37079.90930267575,36783.81442477171,36801.42245998778,15453802860.887552,723946446089.0991
2024-01-20,2024-01-21,36875.21146470864,37073.753576078576,36728.8468862652,36906.89352807277,30853824358.632786,722669404737.2354
2024-01-19,2024-01-20,36615.44865946875,37364.826443938604,35726.2694525389,36869.84402540234,38261624008.57869,717108085474.043
2024-01-18,2024-01-19,37873.30717518578,38012.267167391474,36093.96561650266,36577.34515469031,29511112982.832138,733709097247.9475
